index,lpips,lpips_fooled,orig_zs_idx,orig_zs_label,orig_zs_conf,adv_zs_idx,adv_zs_label,adv_zs_conf_of_orig,zs_confidence_drop,zs_fooled
0,0.003965827,0,98,woman,0.610365629,98,woman,0.114726879,0.49563875,0
1,0.003520354,0,46,man,0.748026609,46,man,0.374483943,0.373542666,0
2,0.002381975,0,46,man,0.884506106,98,woman,0.172516361,0.711989745,1
3,0.003838129,0,98,woman,0.914769948,98,woman,0.606127441,0.308642507,0
4,0.00279275,0,46,man,0.922175288,46,man,0.459521532,0.462653756,0
5,0.003628057,0,98,woman,0.886234343,98,woman,0.53176719,0.354467154,0
6,0.004239255,0,46,man,0.783566058,11,boy,0.111120649,0.672445409,1
7,0.00311804,0,98,woman,0.477515519,98,woman,0.129616573,0.347898945,0
8,0.004239255,0,46,man,0.783566058,11,boy,0.111120649,0.672445409,1
9,0.00311804,0,98,woman,0.477515519,98,woman,0.129616573,0.347898945,0
10,0.003519131,0,98,woman,0.737608552,57,pear,0.010720986,0.726887566,1
11,0.003259264,0,98,woman,0.752554715,98,woman,0.334794998,0.417759717,0
12,0.005618583,0,46,man,0.578085005,46,man,0.096857689,0.481227316,0
13,0.003645506,0,5,bed,0.562140405,46,man,0.007318665,0.55482174,1
14,0.003409587,0,46,man,0.810737789,46,man,0.544784486,0.265953302,0
15,0.002974675,0,46,man,0.537328124,46,man,0.551743507,-0.014415383,0
16,0.002686201,0,46,man,0.839905143,46,man,0.548747063,0.29115808,0
17,0.003511924,0,11,boy,0.520622313,51,mushroom,0.037495691,0.483126622,1
18,0.002694522,0,98,woman,0.379765481,98,woman,0.272246629,0.107518852,0
19,0.003645506,0,5,bed,0.562140405,46,man,0.007318665,0.55482174,1
20,0.005556846,0,98,woman,0.473555297,98,woman,0.621574223,-0.148018926,0
21,0.005136573,0,46,man,0.815793574,46,man,0.236227483,0.579566091,0
22,0.002927463,0,46,man,0.803650796,46,man,0.522860646,0.28079015,0
23,0.003080028,0,98,woman,0.440434277,5,bed,0.081073254,0.359361023,1
24,0.003838129,0,98,woman,0.914769948,98,woman,0.606127441,0.308642507,0
25,0.00279275,0,46,man,0.922175288,46,man,0.459521532,0.462653756,0
26,0.003882473,0,98,woman,0.769594193,98,woman,0.253747523,0.51584667,0
27,0.00259959,0,22,clock,0.50526154,49,mountain,0.009340407,0.495921133,1
28,0.004239255,0,46,man,0.783566058,11,boy,0.111120649,0.672445409,1
29,0.002877248,0,98,woman,0.836586475,98,woman,0.608670175,0.2279163,0
30,0.002694522,0,98,woman,0.379765481,98,woman,0.272246629,0.107518852,0
31,0.00311804,0,98,woman,0.477515519,98,woman,0.129616573,0.347898945,0
32,0.002858895,0,46,man,0.840357125,40,lamp,0.062745422,0.777611703,1
33,0.00352688,0,17,castle,0.766688347,17,castle,0.206888333,0.559800014,0
34,0.002381975,0,46,man,0.884506106,98,woman,0.172516361,0.711989745,1
35,0.003051623,0,98,woman,0.670712113,98,woman,0.363838553,0.30687356,0
36,0.00311804,0,98,woman,0.477515519,98,woman,0.129616573,0.347898945,0
37,0.002783929,0,46,man,0.857410789,46,man,0.343420774,0.513990015,0
38,0.003751772,0,61,plate,0.168144479,49,mountain,0.003059186,0.165085293,1
39,0.003051623,0,98,woman,0.670712113,98,woman,0.363838553,0.30687356,0
40,0.004072993,0,17,castle,0.351948678,17,castle,0.255828291,0.096120387,0
41,0.003645506,0,5,bed,0.562140405,46,man,0.007318665,0.55482174,1
42,0.003178868,0,61,plate,0.156310558,23,cloud,0.007005299,0.149305259,1
43,0.003227136,0,46,man,0.741498649,46,man,0.400342703,0.341155946,0
44,0.002424121,0,46,man,0.633264005,11,boy,0.241757333,0.391506672,1
45,0.003519131,0,98,woman,0.737608552,57,pear,0.010720986,0.726887566,1
46,0.003784463,0,61,plate,0.162741452,87,television,0.00913919,0.153602262,1
47,0.003302653,0,46,man,0.561470807,46,man,0.213615134,0.347855672,0
48,0.003511924,0,11,boy,0.520622313,51,mushroom,0.037495691,0.483126622,1
49,0.002906197,0,98,woman,0.821806848,98,woman,0.543720245,0.278086603,0
50,0.003051623,0,98,woman,0.670712113,98,woman,0.363838553,0.30687356,0
